bill_id,bill_number,house-of-government,status_desc,date_proposed,title,description,last_action_date,last_action,primary_sponsor_firstname,primary_sponsor_lastname,primary_sponsor_middleinit,primary_sponsor_party,primary_sponsor_district,url,state_link
10001,HB3477,House of Representatives,Introduced,2022-02-07T00:00:00Z,Public libraries; creating the Oklahoma Public Libraries Act; effective date.,Public libraries; creating the Oklahoma Public Libraries Act; effective date.,2022-02-08T00:00:00Z,Second Reading referred to Rules,Marilyn,Stark,,R,HD-100,https://legiscan.com/OK/bill/HB3477/2022,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb3477&Session=2200
10002,HB4014,House of Representatives,Engrossed,2022-02-07T00:00:00Z,Public libraries; disclosure of records; permitting disclosure of certain records to parent or legal guardian; effective date.,Public libraries; disclosure of records; permitting disclosure of certain records to parent or legal guardian; effective date.,2022-04-12T00:00:00Z,Reported Do Pass Education committee; CR filed,Sherrie,Conley,,R,HD-020,https://legiscan.com/OK/bill/HB4014/2022,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb4014&Session=2200
10003,HB4242,House of Representatives,Introduced,2022-02-07T00:00:00Z,Public libraries; creating the Oklahoma Public Libraries Act of 2022; effective date.,Public libraries; creating the Oklahoma Public Libraries Act of 2022; effective date.,2022-02-08T00:00:00Z,Second Reading referred to Rules,Toni,Hasenbeck,,R,HD-065,https://legiscan.com/OK/bill/HB4242/2022,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb4242&Session=2200
10004,HB4243,House of Representatives,Introduced,2022-02-07T00:00:00Z,Public libraries; creating the Public Libraries Act; effective date.,Public libraries; creating the Public Libraries Act; effective date.,2022-02-08T00:00:00Z,Second Reading referred to Rules,Toni,Hasenbeck,,R,HD-066,https://legiscan.com/OK/bill/HB4243/2022,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb4243&Session=2200
10005,HB4244,House of Representatives,Introduced,2022-02-07T00:00:00Z,Public libraries; creating the 2022 Oklahoma Libraries Act; effective date.,Public libraries; creating the 2022 Oklahoma Libraries Act; effective date.,2022-02-08T00:00:00Z,Second Reading referred to Rules,Toni,Hasenbeck,,R,HD-067,https://legiscan.com/OK/bill/HB4244/2022,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb4244&Session=2200
10006,SB1160,Senate,Introduced,2022-02-07T00:00:00Z,Libraries; modifying frequency of city-county library commission meetings. Effective date. Emergency.,Libraries; modifying frequency of city-county library commission meetings. Effective date. Emergency.,2022-02-14T00:00:00Z,Coauthored by Representative Nichols (principal House author),Kevin,Matthews,L.,D,SD-011,https://legiscan.com/OK/bill/SB1160/2022,http://www.oklegislature.gov/BillInfo.aspx?Bill=sb1160&Session=2200
10007,HB1128,House of Representatives,Introduced,2022-02-06T00:00:00Z,Public libraries; Oklahoma Public Libraries Reform Act of 2023; effective date.,Public libraries; Oklahoma Public Libraries Reform Act of 2023; effective date.,2023-02-07T00:00:00Z,Second Reading referred to Rules,Charles,McCall,A.,R,HD-022,https://legiscan.com/OK/bill/HB1128/2023,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1128&Session=2300
10008,HB1129,House of Representatives,Introduced,2022-02-06T00:00:00Z,Public libraries; Oklahoma Public Libraries Reform Act of 2023; effective date.,Public libraries; Oklahoma Public Libraries Reform Act of 2023; effective date.,2023-02-07T00:00:00Z,Second Reading referred to Rules,Charles,McCall,A.,R,HD-023,https://legiscan.com/OK/bill/HB1129/2023,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1129&Session=2300
10009,HB1817,House of Representatives,Introduced,2022-02-06T00:00:00Z,Libraries; creating the Oklahoma Libraries Act; effective date.,Libraries; creating the Oklahoma Libraries Act; effective date.,2023-02-07T00:00:00Z,Second Reading referred to Rules,Sherrie,Conley,,R,HD-020,https://legiscan.com/OK/bill/HB1817/2023,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1817&Session=2300
10010,HB1818,House of Representatives,Introduced,2022-02-06T00:00:00Z,Libraries; creating the Oklahoma Libraries Act of 2023; effective date.,Libraries; creating the Oklahoma Libraries Act of 2023; effective date.,2023-02-07T00:00:00Z,Second Reading referred to Rules,Sherrie,Conley,,R,HD-021,https://legiscan.com/OK/bill/HB1818/2023,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1818&Session=2300
10011,HB1819,House of Representatives,Introduced,2022-02-06T00:00:00Z,Libraries; creating the State Libraries Act of 2023; effective date.,Libraries; creating the State Libraries Act of 2023; effective date.,2023-02-07T00:00:00Z,Second Reading referred to Rules,Sherrie,Conley,,R,HD-022,https://legiscan.com/OK/bill/HB1819/2023,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1819&Session=2300
10012,HB2568,House of Representatives,Introduced,2022-02-06T00:00:00Z,Libraries; creating the Oklahoma Department of Libraries Act of 2023; effective date.,Libraries; creating the Oklahoma Department of Libraries Act of 2023; effective date.,2023-02-07T00:00:00Z,Second Reading referred to Rules,Mark,McBride,,R,HD-053,https://legiscan.com/OK/bill/HB2568/2023,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb2568&Session=2300
10013,SB322,Senate,Passed,2022-02-06T00:00:00Z,Libraries; digital or online library database resources; updating statutory language. Effective date. Emergency.,Libraries; digital or online library database resources; updating statutory language. Effective date. Emergency.,2023-06-09T00:00:00Z,Approved by Governor 06/09/2023,Ally,Seifried,,R,SD-002,https://legiscan.com/OK/bill/SB322/2023,http://www.oklegislature.gov/BillInfo.aspx?Bill=sb322&Session=2300
10014,HB2557,House of Representatives,Introduced,2022-02-06T00:00:00Z,"Public libraries; authorizing the Oklahoma Department of Libraries Board to utilize funds for certain relocation, remodeling, and construction projects; effective date; emergency.","Public libraries; authorizing the Oklahoma Department of Libraries Board to utilize funds for certain relocation, remodeling, and construction projects; effective date; emergency.",2023-02-13T00:00:00Z,Recommendation to the full committee; Do Pass Appropriations and Budget Education Subcommittee,Mark,McBride,,R,HD-053,https://legiscan.com/OK/bill/HB2557/2023,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb2557&Session=2300
10015,HB2618,House of Representatives,Introduced,2022-02-06T00:00:00Z,Public Libraries; multi-county library systems; accounting; purchase approvals; effective date.,Public Libraries; multi-county library systems; accounting; purchase approvals; effective date.,2023-02-07T00:00:00Z,Second Reading referred to Rules,Justin,Humphrey,,R,HD-019,https://legiscan.com/OK/bill/HB2618/2023,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb2618&Session=2300
10016,SB397,Senate,Failed,2022-02-06T00:00:00Z,Schools; directing certain libraries to conduct certain inventory of materials and media; providing certain designations. Effective date. Emergency.,Schools; directing certain libraries to conduct certain inventory of materials and media; providing certain designations. Effective date. Emergency.,2023-05-26T00:00:00Z,Died in conference,Warren,Hamilton,,R,SD-007,https://legiscan.com/OK/bill/SB397/2023,http://www.oklegislature.gov/BillInfo.aspx?Bill=sb397&Session=2300
10017,SB5,Senate,Engrossed,2022-02-06T00:00:00Z,Libraries; city-county library commissions; modifying meeting dates. Effective date. Emergency.,Libraries; city-county library commissions; modifying meeting dates. Effective date. Emergency.,2023-04-11T00:00:00Z,"CR; Do Pass, amended by committee substitute County and Municipal Government Committee",Kevin,Matthews,L.,D,SD-011,https://legiscan.com/OK/bill/SB5/2023,http://www.oklegislature.gov/BillInfo.aspx?Bill=sb5&Session=2300
